hostname;interface;link_state;admin_state;vlan;ip;description
DC-WAN-RTR-01;Port-channel2.192;up;up;897;192.168.103.25;KCP KOTA PINANG
DC-WAN-RTR-01;Port-channel2.193;up;up;898;30.50.47.1;KCP CIKUPA
DC-WAN-RTR-01;Port-channel2.194;up;up;899;192.168.102.61;KK PONPES ATTANWIR BOJONEGORO
DC-WAN-RTR-01;Port-channel2.195;up;up;901;192.168.102.65;KCP PAMULANG
DC-WAN-RTR-01;Port-channel2.196;up;up;902;192.168.100.121;KCP ISKANDAR MUDA JKT
DC-WAN-RTR-01;Port-channel2.197;up;up;903;192.168.102.81;KCP TELUK BETUNG LAMPUNG
DC-WAN-RTR-01;Port-channel2.198;up;up;904;192.168.102.97;KCP SUNGAI LILIN | i 192.168.102.97
DC-WAN-RTR-01;Port-channel2.199;up;up;905;192.168.102.93;KCP KOTA BUMI
DC-WAN-RTR-01;Port-channel2.200;up;up;908;192.168.102.113;KCP SUDIRMAN PEKANBARU | 192.168.102.113
DC-WAN-RTR-01;Port-channel2.201;up;up;909;192.168.102.173;KCP SAMARINDA_SUDIRMAN
DC-WAN-RTR-01;Port-channel2.202;up;up;910;192.168.102.117;CFBC BEKASI
DC-WAN-RTR-01;Port-channel2.203;up;up;912;192.168.101.213;KCP TANJUNG ENIM
DC-WAN-RTR-01;Port-channel2.204;up;up;913;30.62.9.1;KC PADANG
DC-WAN-RTR-01;Port-channel2.205;up;up;915;192.168.102.121;KCP METRO BANDUNG
DC-WAN-RTR-01;Port-channel2.206;up;up;916;192.168.102.129;KC_DEPOK
DC-WAN-RTR-01;Port-channel2.207;up;up;917;192.168.102.221;KCP_KELAPA_DUA_DEPOK
DC-WAN-RTR-01;Port-channel2.208;administratively down;down;918;192.168.102.153;KCP BABAT LAMONGA
DC-WAN-RTR-01;Port-channel2.209;up;up;919;192.168.102.141;KCP ROGOJAMPI
DC-WAN-RTR-01;Port-channel2.210;up;up;920;10.52.25.97;CMFO PEMATANG SIANTAR
DC-WAN-RTR-01;Port-channel2.211;up;up;922;192.168.102.157;KCP MALABAR | 192.168.102.157
DC-WAN-RTR-01;Port-channel2.212;up;up;930;192.168.102.201;KC BANDUNG DAGO
DC-WAN-RTR-01;Port-channel2.213;up;up;990;192.168.102.101;KCP PEMALANG 192.168.102.189
